p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
0.788061815106847	0.00471002523137654	0.454	0.501	1	Trim8	Tex-Prf1
0.788084994276559	0.00885847582353083	0.992	0.987	1	Tma7	Tex-Prf1
0.788238709732373	0.0156808900232047	0.375	0.377	1	Rpe	Tex-Prf1
0.788277572554442	0.0029788257019836	0.916	0.911	1	Ndufb5	Tex-Prf1
0.788788431824613	-0.00215891023763082	0.51	0.532	1	Tmed7	Tex-Prf1
0.788811485513286	-0.0178885335014183	0.462	0.476	1	Akt2	Tex-Prf1
0.789098918913335	-0.0362610127283632	0.347	0.359	1	Terf1	Tex-Prf1
0.789666782142466	0.025559188194995	0.342	0.341	1	Sp1	Tex-Prf1
0.789672193822546	0.0264770086513202	0.303	0.305	1	Klhl24	Tex-Prf1
0.790064980180707	-0.00894818867285174	0.588	0.623	1	Pten	Tex-Prf1
0.790085154716243	0.00459700457180545	0.297	0.318	1	2310009B15Rik	Tex-Prf1
0.790289253913964	-0.0148127228290473	0.966	0.964	1	Gng2	Tex-Prf1
0.790692152414776	-0.0067729171261246	0.793	0.814	1	Crlf2	Tex-Prf1
0.791038814758301	-0.0600672501281719	0.303	0.313	1	Smc2	Tex-Prf1
0.791281182464236	-0.0049493707889301	0.874	0.883	1	Hspd1	Tex-Prf1
0.792062455739808	0.0474258944524074	0.415	0.448	1	Gm47283	Tex-Prf1
0.792995953437106	0.0139864491758196	0.711	0.707	1	Cyfip2	Tex-Prf1
0.793652062456898	-0.0215176481821346	0.521	0.547	1	Dpm1	Tex-Prf1
0.793788876147451	-0.0158049898549513	0.759	0.802	1	Ndufs4	Tex-Prf1
0.794438927728927	0.0147384096964092	0.37	0.399	1	Impad1	Tex-Prf1
0.794457356155206	0.0104876446937683	0.546	0.578	1	Clk4	Tex-Prf1
0.794491604570913	0.0248097417052813	0.664	0.718	1	Mapkapk2	Tex-Prf1
0.794926887124671	0.00584990305184907	0.709	0.784	1	Pdia6	Tex-Prf1
0.795346310238316	0.0193169180057217	0.403	0.407	1	Gyg	Tex-Prf1
0.795596909453407	-0.0287437062093087	0.37	0.377	1	Gm13436	Tex-Prf1
0.796194274748897	-0.0176552007456829	0.79	0.799	1	Dhx15	Tex-Prf1
0.796352562382414	-0.00467381106839071	0.697	0.715	1	Rab18	Tex-Prf1
0.796395258952239	-0.000150926260209294	0.479	0.468	1	Evi2a	Tex-Prf1
0.796405955758602	-0.0677849232804018	0.773	0.789	1	4930523C07Rik	Tex-Prf1
0.796421756217523	0.0136230415146308	0.661	0.677	1	Rbm28	Tex-Prf1
0.796946683284624	-0.0267886887592199	0.367	0.379	1	Med29	Tex-Prf1
0.797910894229477	0.0303899476591944	0.49	0.501	1	Srek1	Tex-Prf1
0.798037061923638	-0.00912012136766771	0.328	0.326	1	Rnf14	Tex-Prf1
0.798217904253955	-0.0114900567502702	0.423	0.412	1	Igfbp7	Tex-Prf1
0.798704816315035	-0.00843150369534323	0.319	0.338	1	Tvp23b	Tex-Prf1
0.798943761760606	0.0259823127741332	0.857	0.888	1	Dnaja2	Tex-Prf1
0.799007789596763	-0.0163173757493609	0.448	0.478	1	Otud5	Tex-Prf1
0.799661026379122	0.000159841606310496	0.314	0.328	1	Zfp397	Tex-Prf1
0.800272745125396	0.00329988384170332	0.513	0.506	1	Spag7	Tex-Prf1
0.800293778084297	0.0222310304668909	0.336	0.346	1	Zfp36	Tex-Prf1
0.800417935112849	0.0152824474058395	0.305	0.3	1	Anapc15	Tex-Prf1
0.800490314458775	-0.00264168991803748	0.308	0.323	1	Fam53a	Tex-Prf1
0.800494432736076	-0.0106163479755517	0.815	0.845	1	Dut	Tex-Prf1
0.800699237973854	0.0221076867890246	0.353	0.392	1	Zeb1	Tex-Prf1
0.800724483886543	-0.0124392821343322	0.81	0.794	1	Ubxn4	Tex-Prf1
0.80073327964672	-0.0128885935631491	0.588	0.631	1	Mysm1	Tex-Prf1
0.801479006405322	-0.00220793955174448	0.429	0.458	1	Thumpd3	Tex-Prf1
0.801835050488689	-0.0188828776956407	0.35	0.384	1	Dapp1	Tex-Prf1
0.80205732933607	-0.000184843343919938	0.308	0.295	1	Kcnab2	Tex-Prf1
0.802205582198944	0.0135960833133942	0.529	0.529	1	Soat1	Tex-Prf1
0.802410945209867	0.0388865338902875	0.42	0.435	1	Nabp2	Tex-Prf1
0.802478203411474	-0.00525369757353611	0.401	0.405	1	Bcor	Tex-Prf1
0.802852182889089	-0.0184454645570512	0.395	0.417	1	Snx20	Tex-Prf1
0.803038362730113	0.0327269545329271	0.395	0.407	1	Gata3	Tex-Prf1
0.803182985836124	0.018669907941002	0.824	0.824	1	Dcun1d5	Tex-Prf1
0.803909369104384	0.0266200380501699	0.319	0.323	1	Hax1	Tex-Prf1
0.803966257190321	0.000212595744543465	0.317	0.323	1	Krr1	Tex-Prf1
